line,question,question_type
1,What is market basket analysis?,market basket
2,Tell me about market basket analysis?,market basket
3,What do you know about market basket analysis?,market basket
4,Do you know about market basket analysis?,market basket
5,What is the process of market basket analysis?,market basket
6,How market basket analysis works ?,market basket
7,Tell me market basket analysis?,market basket
8,About market basket analysis?,market basket
9,Let me know about market basket analysis?,market basket
10,What is market basket analysis?,market basket
11,What do you say about market basket analysis?,market basket
12,What does market basket analysismean?,market basket
13,Explain market basket analysis?,market basket
14,Define market basket analysis?,market basket
15,Can you explain about market basket analysis?,market basket
16,What is itemset?,market basket
17,Tell me about itemset?,market basket
18,What do you know about itemset?,market basket
19,Do you know about itemset?,market basket
20,What is the process of itemset?,market basket
21,How itemset works ?,market basket
22,Tell me itemset?,market basket
23,About itemset?,market basket
24,Let me know about itemset?,market basket
25,What is itemset in market basket analysis?,market basket
26,What do you say about itemset?,market basket
27,What does itemsetmean?,market basket
28,Explain itemset?,market basket
29,Define itemset?,market basket
30,Can you explain about itemset?,market basket
31,Can you give a short summary about itemset?,market basket
32,What is purpose of market basket analysis?,market basket
33,Tell me about purpose of market basket analysis?,market basket
34,What do you know about purpose of market basket analysis?,market basket
35,Do you know about purpose of market basket analysis?,market basket
36,What is the process of purpose of market basket analysis?,market basket
37,How purpose of market basket analysis works ?,market basket
38,Tell me purpose of market basket analysis?,market basket
39,About purpose of market basket analysis?,market basket
40,Let me know about purpose of market basket analysis?,market basket
41,What is purpose of market basket analysis?,market basket
42,What do you say about purpose of market basket analysis?,market basket
43,What does purpose of market basket analysismean?,market basket
44,Explain purpose of market basket analysis?,market basket
45,Define purpose of market basket analysis?,market basket
46,Can you explain about purpose of market basket analysis?,market basket
47,What is association rules in market basket analisis?,market basket
48,Tell me about association rules in market basket analisis?,market basket
49,What do you know about association rules in market basket analisis?,market basket
50,Do you know about association rules in market basket analisis?,market basket
51,What is the process of association rules in market basket analisis?,market basket
52,How association rules in market basket analisis works ?,market basket
53,Tell me association rules in market basket analisis?,market basket
54,About association rules in market basket analisis?,market basket
55,Let me know about association rules in market basket analisis?,market basket
56,What is association rules in market basket analisis?,market basket
57,What do you say about association rules in market basket analisis?,market basket
58,What does association rules in market basket analisismean?,market basket
59,Explain association rules in market basket analisis?,market basket
60,Define association rules in market basket analisis?,market basket
61,Can you explain about association rules in market basket analisis?,market basket
62,Can you say something about association rules in market basket analisis?,market basket
63,how to measures association rules?,market basket
64,how to calculate association rules in market basket analysis?,market basket
65,measures of association rules?,market basket
66,process of calculate association rules?,market basket
67,Tell me about calculating the association rules in market basket analysis?,market basket
68,What do you know about calculate the association  rules?,market basket
69,calculate the association rules?,market basket
70,Tell me the process of association rules?,market basket
71,What are types of techniques are used to measure the association rules in market basket analysis?,market basket
72,Tell me types of techniques are used to measure the association rules?,market basket
73,Do you know types of  techniques are used to measure the association rules?,market basket
74,Types of  techniques are used to measure the association rules?,market basket
75,Different types of  techniques are used to measure the association rules?,market basket
76,What are the different types of techniques are used to measure the association rules?,market basket
77,how many types of techniques are used to measure the association rules are there?,market basket
