line,question,question_type
1,What is time series?,forecasting
2,Tell me about time series?,forecasting
3,What do you know about time series?,forecasting
4,Do you know about time series?,forecasting
5,What is the process of time series?,forecasting
6,How time series works ?,forecasting
7,Tell me time series?,forecasting
8,About time series?,forecasting
9,Let me know about time series?,forecasting
10,What is time series?,forecasting
11,What do you say about time series?,forecasting
12,What does time series mean?,forecasting
13,Explain time series?,forecasting
14,Define time series?,forecasting
15,Can you explain about time series?,forecasting
16,Can you say something about time series?,forecasting
17,Can you explain briefly about time series?,forecasting
18,Can you give a short summary about time series?,forecasting
19,What is cross sectional data?,forecasting
20,Tell me about cross sectional data?,forecasting
21,What do you know about cross sectional data?,forecasting
22,Do you know about cross sectional data?,forecasting
23,What is the process of cross sectional data?,forecasting
24,How cross sectional data works ?,forecasting
25,Tell me cross sectional data?,forecasting
26,About cross sectional data?,forecasting
27,Let me know about cross sectional data?,forecasting
28,What is cross sectional data?,forecasting
29,What do you say about cross sectional data?,forecasting
30,What does cross sectional data mean?,forecasting
31,Explain cross sectional data?,forecasting
32,Define cross sectional data?,forecasting
33,Can you explain about cross sectional data?,forecasting
34,Can you say something about cross sectional data?,forecasting
35,Can you explain briefly about cross sectional data?,forecasting
36,Can you give a short summary about cross sectional data?,forecasting
37,What is pooled data?,forecasting
38,Tell me about pooled data?,forecasting
39,What do you know about pooled data?,forecasting
40,Do you know about pooled data?,forecasting
41,What is the process of pooled data?,forecasting
42,How pooled data works ?,forecasting
43,Tell me about pooled data?,forecasting
44,About pooled data?,forecasting
45,Let me know about pooled data?,forecasting
46,What is pooled data?,forecasting
47,What do you say about pooled data?,forecasting
48,What does pooled data mean?,forecasting
49,Explain pooled data?,forecasting
50,Define pooled data?,forecasting
51,Can you explain about pooled data?,forecasting
52,Can you say something about pooled data?,forecasting
53,Can you explain briefly about pooled data?,forecasting
54,Can you give a short summary about pooled data?,forecasting
55,What are types of time series?,forecasting
56,Tell me types of time series?,forecasting
57,Do you know types of  time series?,forecasting
58,Types of  time series?,forecasting
59,Different types of  time series?,forecasting
60,What are the different types of time series?,forecasting
61,how many types of time series are there?,forecasting
62,What are the important types of time series?,forecasting
63,list out different types of time series?,forecasting
64,what are the various types of time series?,forecasting
65,list out various types of time series?,forecasting
66,mention some time seriesmethods?,forecasting
67,say different time seriesmethods?,forecasting
68,do you know the various types of time series?   ,forecasting
69,What is time series analysis?,forecasting
70,Tell me about time series analysis?,forecasting
71,What do you know about time series analysis?,forecasting
72,Do you know about time series analysis?,forecasting
73,What is the process of time series analysis?,forecasting
74,How time series analysis works ?,forecasting
75,Tell me time series analysis?,forecasting
76,About time series analysis?,forecasting
77,Let me know about time series analysis?,forecasting
78,What is time series analysis?,forecasting
79,What do you say about time series analysis?,forecasting
80,What does time series analysis mean?,forecasting
81,Explain time series analysis?,forecasting
82,Define time series analysis?,forecasting
83,Can you explain about time series analysis?,forecasting
84,Can you say something about time series analysis?,forecasting
85,Can you explain briefly about time series analysis?,forecasting
86,Can you give a short summary about time series analysis?,forecasting
87,What is time series forecasting?,forecasting
88,Tell me about time series forecasting?,forecasting
89,What do you know about time series forecasting?,forecasting
90,Do you know about time series forecasting?,forecasting
91,What is the process of time series forecasting?,forecasting
92,How time series forecasting works ?,forecasting
93,Tell me time series forecasting?,forecasting
94,About time series forecasting?,forecasting
95,Let me know about time series forecasting?,forecasting
96,What is time series forecasting?,forecasting
97,What do you say about time series forecasting?,forecasting
98,What does time series forecasting mean?,forecasting
99,Explain time series forecasting?,forecasting
100,Define time series forecasting?,forecasting
101,Can you explain about time series forecasting?,forecasting
102,Can you say something about time series forecasting?,forecasting
103,Can you explain briefly about time series forecasting?,forecasting
104,Can you give a short summary about time series forecasting?,forecasting
105,What is stock series?,forecasting
106,Tell me about stock series?,forecasting
107,What do you know about stock series?,forecasting
108,Do you know about stock series?,forecasting
109,How stock series works ?,forecasting
110,Tell me stock series?,forecasting
111,About stock series?,forecasting
112,Let me know about stock series?,forecasting
113,What is stock series?,forecasting
114,What do you say about stock series?,forecasting
115,What does stock series mean?,forecasting
116,Explain stock series?,forecasting
117,Define stock series?,forecasting
118,Can you explain about stock series?,forecasting
119,Can you say something about stock series?,forecasting
120,Can you explain briefly about stock series?,forecasting
121,Can you give a short summary about stock series?What is flow series?,forecasting
122,Tell me about flow series?,forecasting
123,What do you know about flow series?,forecasting
124,Do you know about flow series?,forecasting
125,How flow series works ?,forecasting
126,Tell me flow series?,forecasting
127,About flow series?,forecasting
128,Let me know about flow series?,forecasting
129,What is flow series?,forecasting
130,What do you say about flow series?,forecasting
131,What does flow series mean?,forecasting
132,Explain flow series?,forecasting
133,Define flow series?,forecasting
134,Can you explain about flow series?,forecasting
135,Can you say something about flow series?,forecasting
136,Can you explain briefly about flow series?,forecasting
137,Can you give a short summary about flow series?What is trend?,forecasting
138,Tell me about trend?,forecasting
139,What do you know about trend?,forecasting
140,Do you know about trend?,forecasting
141,How trend works ?,forecasting
142,Tell me trend?,forecasting
143,About trend?,forecasting
144,Let me know about trend?,forecasting
145,What is trend?,forecasting
146,What do you say about trend?,forecasting
147,What does trend mean?,forecasting
148,Explain trend?,forecasting
149,Define trend?,forecasting
150,Can you explain about trend?,forecasting
151,Can you say something about trend?,forecasting
152,Can you explain briefly about trend?,forecasting
153,Can you give a short summary about trend?What is up trend?,forecasting
154,Tell me about up trend?,forecasting
155,What do you know about up trend?,forecasting
156,Do you know about up trend?,forecasting
157,How up trend works ?,forecasting
