line,question,question_type
1,What is svm?,svm
2,What is svm fullform?,svm
3,What is svm abbreviation?,svm
4,What is ment by support vector machine algorithm?,svm
5,What is the support vector machine?,svm
6,What is svm algorithm?,svm
7,What is support vector machine algorithm in machine learning?,svm
8,What is support vector machine algorithm in data science?,svm
9,What is a support vector machine algorithm?,svm
10,Defination of support vector machine algorithm?,svm
11,What is support vector machine?,svm
12,Tell me support vector machine?,svm
13,What about support vector machine?,svm
14,About support vector machine?,svm
15,support vector machine?,svm
16,Do you know support vector machine?,svm
17,What do you know about support vector machine?,svm
18,support vector machine?,svm
19,What is the goal of  support vector machine?,svm
20,Why is the support vector machine?,svm
21,where we choose only support vector machine in data sciences?,svm
22,When we choose support vector machine?,svm
23,can we  choose support vector machine?,svm
24,reason to support vector machine machine learning?,svm
25,Why do we use the support vector machine?,svm
26,purpose of the support vector machine?,svm
27,What are the uses of svm?,svm
28,What are the uses of support vector machine?,svm
29,Tell me the benefits of support vector machine?,svm
30,what are  uses of svm?,svm
31,What about the uses of support vector machine?,svm
32,Are there any benefits  of support vector machine?,svm
33,Why to use support vector machine?,svm
34,Why do we need to use support vector machine?,svm
35,Why we need to use support vector machine?,svm
36,Are there any uses of support vector machine?,svm
37,Uses of support vector machine?,svm
38,What classification analysis in support vector machine?,svm
39,Tell me about classification analysis in support vector machine?,svm
40,What do you know about classification analysis in support vector machine?,svm
41,How classification analysis works ?,svm
42,Tell me  classification analysis?,svm
43,About the classification analysis?,svm
44,Let me about classification analysis?,svm
45,What do you say about classification analysis?,svm
46,What does classification analysismean?,svm
47,Explain classification analysis?,svm
48,Define classification analysis?,svm
49,Can you explain about classification analysis in support vector machine?,svm
50,What is regression analysis in support vector machine?,svm
51,Tell me about regression analysis in support vector machine?,svm
52,What do you know about regression analysis?,svm
53,Do you know about regression analysis?,svm
54,What is the process of regression analysis?,svm
55,How regression analysis works in support vector machine?,svm
56,Tell me regression analysis?,svm
57,About regression analysis?,svm
58,regression analysis?,svm
59,What is regression analysis?,svm
60,What do you say about regression analysis?,svm
61,What does regression analysismean?,svm
62,Explain regression analysis?,svm
63,Define regression analysis?,svm
64,Can you explain about regression analysis in support vector machine?,svm
65,Can you say something about regression analysis?,svm
66,Can you explain briefly about regression analysis?,svm
67,Can you give a short summary about regression analysis in support vector machine?,svm
68,what is hyperplane?,svm
69,What is hyper plane?,svm
70,What is hyper plane in svm?,svm
71,What is hyper plane in support vector machine?,svm
72,What is ment by hyper plane in support vector machine?,svm
73,Definition of hyper plane in support vector machine?,svm
74,What is a hyper plane in  support vector machine?,svm
75,What is the hyper plane in  support vector machine?,svm
76,Do you know about hyper plane in  support vector machine?,svm
77,Tell me about hyper plane in  support vector machine?,svm
78,why we can use a hyper plane in  support vector machine?,svm
79,what do you konw about the hyper plane in  support vector machine?,svm
80,what is a hyper plane?,svm
81,About the hyper plane in  support vector machine?,svm
82,Which is the best hyper plane in support vector machine?,svm
83,Best hyper plane in support vector machine?,svm
84,What is  best hyper plane in support vector machine?,svm
85,Which is best hyper plane in  support vector machine?,svm
86,Which is the best hyper plane of support vector machine in machine learning?,svm
87,Do you know best hyper plane in  support vector machine?,svm
88,Tell me which is best hyper plane in  support vector machine?,svm
89,why we can called is best hyper plane in  support vector machine?,svm
90,what do you konw best hyper plane in  support vector machine?,svm
91,which is a best hyper plane?,svm
92,About the best hyper plane in  support vector machine?,svm
93,What is homogeneous partition in support vector machine?,svm
94,What is ment by homogeneous partition in svm?,svm
95,Definition of homogeneous partition in support vector machine?,svm
96,What is a homogeneous partition in  support vector machine?,svm
97,What is the homogeneous partition in  support vector machine?,svm
98,Do you know about homogeneous partition in  support vector machine?,svm
99,Tell me about homogeneous partition in  support vector machine?,svm
100,why we can use a homogeneous partition in  support vector machine?,svm
101,what do you konw about the homogeneous partition in  support vector machine?,svm
102,what is  homogeneous partition?,svm
103,homogeneous partition in svm ?,svm
104,About the homogeneous partition in  support vector machine?,svm
105,What is Support Vector Classifier in support vector machine?,svm
106,What is ment by Support Vector Classifier in support vector machine?,svm
107,Definition of Support Vector Classifier in support vector machine?,svm
108,What is a Support Vector Classifier in  support vector machine?,svm
109,What is the Support Vector Classifier in  support vector machine?,svm
110,Do you know about Support Vector Classifier in  support vector machine?,svm
111,Tell me about Support Vector Classifier in  support vector machine?,svm
112,why we can use a Support Vector Classifier in  support vector machine?,svm
113,what do you konw abput the Support Vector Classifiere in  support vector machine?,svm
114,what is a Support Vector Classifier?,svm
115,About the Support Vector Classifier in  support vector machine?,svm
116,What are the uses of svm?,svm
117,What are the uses of Support Vector Classifier in support vector machine?,svm
118,Tell me the uses of Support Vector Classifier in support vector machine?,svm
