line,question,question_type
1,What is regression technique?,linear regression
2,What is regression technique in machine learning?,linear regression
3,What is regression technique in data science?,linear regression
4,What is regression technique in R?,linear regression
5,What is regression technique in python?,linear regression
6,What is a regression technique?,linear regression
7,What is regression?,linear regression
8,Tell me about regression?,linear regression
9,Tell me regression?,linear regression
10,What about regression?,linear regression
11,About regression?,linear regression
12,Let me know about regression?,linear regression
13,Do you know regression?,linear regression
14,What do you know about regression?,linear regression
15,What do you know regression?,linear regression
16,What are the uses of regression technique?,linear regression
17,What are the uses of regression technique in data science?,linear regression
18,What are the uses of regression technique in machine learning?,linear regression
19,What are the uses of regression technique in R?,linear regression
20,What are the uses of regression technique in python?,linear regression
21,What are the uses of regression?,linear regression
22,Tell me the uses of regression?,linear regression
23,What about the uses of regression?,linear regression
24,What are the advantages of regression?,linear regression
25,Are there any advantages of regression?,linear regression
26,Why to use regression?,linear regression
27,Why do we need to use regression?,linear regression
28,Why we need to use regression?,linear regression
29,Are there any uses of regression?,linear regression
30,Uses of regression?,linear regression
31,What is regression line?,linear regression
32,What is regression line in data science?,linear regression
33,What is regression line in machine learning?,linear regression
34,What is regression line in R?,linear regression
35,What is regression line in python?,linear regression
36,What is a regression line?,linear regression
37,Do you know about regression line?,linear regression
38,Tell me about regression line?What is the best fit line?,linear regression
39,What is the best fit line in machine learning?,linear regression
40,What is the best fit line in data science?,linear regression
41,What is the best fit line in R?,linear regression
42,What is the best fit line in python?,linear regression
43,What do you say about best fit line?,linear regression
44,Tell me about best fit line?,linear regression
45,What is best fit line?,linear regression
46,Do you know about best fit line?,linear regression
47,How do we determine the best fit line?,linear regression
48,How do we determine the best fit line in machine learning?,linear regression
49,How do we determine the best fit line in data science?,linear regression
50,How do we determine the best fit line in R?,linear regression
51,How do we determine the best fit line in python?,linear regression
52,How can we calculate best fit line?,linear regression
53,How to get best fit line?,linear regression
54,What is the preocedure to follow to get best fit line?,linear regression
55,What is the process to follow to get a best fit line?What is the dependent variable?,linear regression
56,What is the dependent variable in data science?,linear regression
57,What is the dependent variable in machine learning?,linear regression
58,What is the dependent variable in R?,linear regression
59,What is the dependent variable in python?,linear regression
60,Dependent variable means?,linear regression
61,What do you mean by dependent variable?,linear regression
62,Do you know about dependent variable?What is an independent variable?,linear regression
63,What is an independent variable in data science?,linear regression
64,What is an independent variable in machine learning?,linear regression
65,What is an independent variable in R?,linear regression
66,What is an independent variable in python?,linear regression
67,Independent variable?,linear regression
68,What do you mean by independent variable?,linear regression
69,Do you know about independent variable?,linear regression
70,What is actual value?,linear regression
71,What is actual value in data science?,linear regression
72,What is actual value in machine learning?,linear regression
73,What is actual value in R?,linear regression
