line,question,question_type
1,What is ensembling learning ?,random forest
2,Tell me about ensembling learning ?,random forest
3,What do you know about ensembling learning ?,random forest
4,Do you know about ensembling learning ?,random forest
5,What is the process of ensembling learning ?,random forest
6,Let me know about ensembling learning ?,random forest
7,What do you say about ensembling learning ?,random forest
8,What does ensembling learning mean?,random forest
9,Explain ensembling learning ?,random forest
10,Define ensembling learning ?,random forest
11,Can you explain about ensembling learning ?,random forest
12,say something about ensembling learning ?,random forest
13,explain briefly about ensembling learning ?,random forest
14,give a short summary about ensembling learning ?,random forest
15,What is random forest technique?,random forest
16,What is known as random forest?,random forest
17,Tell me about random forest?,random forest
18,What do you know about random forest?,random forest
19,Do you know about random forest?,random forest
20,What is the process of random forest?,random forest
21,How random forest works ?,random forest
22,Let me know about random forest?,random forest
23,What do you say about random forest?,random forest
24,What does random forest mean?,random forest
25,Explain random forest?,random forest
26,Define random forest?,random forest
27,explain me about random forest?,random forest
28,Can you say something about random forest?,random forest
29,Briefly explain about random forest?,random forest
30,Give a short summary about random forest?,random forest
31,What is bagging?,random forest
32,Tell me about bagging?,random forest
33,What do you know about bagging?,random forest
34,Do you know about bagging?,random forest
35,What is the process of bagging?,random forest
36,How bagging works ?,random forest
37,Let me know about bagging?,random forest
38,What do you say about bagging?,random forest
39,What does bagging mean?,random forest
40,Explain bagging?,random forest
41,Define bagging?,random forest
42,Can you explain about bagging?,random forest
43,Say something about bagging?,random forest
44,Can you explain briefly about bagging?,random forest
45,Give a short summary about bagging?,random forest
46,What is decision tree?,random forest
47,Tell me about decision tree?,random forest
48,What do you know about decision tree?,random forest
49,What is the process of decision tree?,random forest
50,How decision tree works ?,random forest
51,Let me know about decision tree?,random forest
52,What do you say about decision tree?,random forest
53,What does decision tree mean?,random forest
54,Explain decision tree?,random forest
55,Define decision tree?,random forest
56,Can you explain about decision tree?,random forest
57,Say something about decision tree?,random forest
58,Briefly explain about decision tree?,random forest
59,Give a short summary about decision tree?,random forest
60,What is decision stumps?,random forest
61,Tell me about decision stumps?,random forest
62,What do you know about decision stumps?,random forest
63,What is the process of decision stumps?,random forest
64,How decision stumps works ?,random forest
65,Let me know about decision stumps?,random forest
66,What is decision stumps?,random forest
67,What do you say about decision stumps?,random forest
68,What does decision stumps mean?,random forest
69,Explain decision stumps?,random forest
70,Define decision stumps?,random forest
71,Can you explain about decision stumps?,random forest
72,Say something about decision stumps?,random forest
73,Briefly explain about decision stumps?,random forest
74,Give a short summary about decision stumps?,random forest
75,What is adaboost?,random forest
