line,question,question_type
1,What is neuron?,neural network
2,Tell me about neuron?,neural network
3,What do you know about neuron?,neural network
4,Do you know about neuron?,neural network
5,What is the process of neuron?,neural network
6,How neuron works ?,neural network
7,Let me know about neuron?,neural network
8,What is neuron?,neural network
9,What do you say about neuron?,neural network
10,What does neuron mean?,neural network
11,Explain neuron?,neural network
12,Define neuron?,neural network
13,Can you explain about neuron?,neural network
14,Can you say something about neuron?,neural network
15,Can you explain briefly about neuron?,neural network
16,Can you give a short summary about neuron?,neural network
17,biological neuron?,neural network
18,What is  biological neuron?,neural network
19,Tell me about biological  neuron?,neural network
20,What do you know about biological  neuron?,neural network
21,Do you know about biological  neuron?,neural network
22,What is the process of biological  neuron?,neural network
23,How biological  neuron works ?,neural network
24,Let me know about biological  neuron?,neural network
25,What is biological neuron?,neural network
26,What do you say about biological  neuron?,neural network
27,What does biological  neuron mean?,neural network
28,Explain biological  neuron?,neural network
29,Define biological  neuron?,neural network
30,Can you explain about biological  neuron?,neural network
31,Can you say something about biological  neuron?,neural network
32,Can you explain briefly about biological  neuron?,neural network
33,Can you give a short summary about biological  neuron?human brain?,neural network
34,What is human brain?,neural network
35,Tell me about human brain?,neural network
36,What do you know about human brain?,neural network
37,Do you know about human brain?,neural network
38,What is the process of human brain?,neural network
39,How human brain works ?,neural network
40,Let me know about human brain?,neural network
41,What is human brain?,neural network
42,What do you say about human brain?,neural network
43,What does human brain mean?,neural network
44,Explain human brain?,neural network
45,Define human brain?,neural network
46,Can you explain about human brain?,neural network
47,Can you say something about human brain?,neural network
48,Can you explain briefly about human brain?,neural network
49,Can you give a short summary about human brain?,neural network
50,neural network?,neural network
51,What is neural network?,neural network
52,Tell me about neural network?,neural network
53,What do you know about neural network?,neural network
54,Do you know about neural network?,neural network
55,What is the process of neural network?,neural network
56,How neural network works ?,neural network
57,Let me know about neural network?,neural network
58,What is neural network?,neural network
59,What do you say about neural network?,neural network
60,What does neural network mean?,neural network
61,Explain neural network?,neural network
62,Define neural network?,neural network
63,Can you explain about neural network?,neural network
64,Can you say something about neural network?,neural network
65,Can you explain briefly about neural network?,neural network
66,Can you give a short summary about neural network?,neural network
67,human neural network ?,neural network
68,What is human neural network?,neural network
69,Tell me about human neural network?,neural network
70,What do you know about human neural network?,neural network
71,Do you know about human neural network?,neural network
72,What is the process of human neural network?,neural network
73,How human neural network works ?,neural network
74,Let me know about human neural network?,neural network
75,What is human neural network?,neural network
76,What do you say about human neural network?,neural network
