line,question,question_type
1,What is principal component analysis?,pca
2,What is pca?,pca
3,Tell me about principal component analysis?,pca
4,What do you know about principal component analysis?,pca
5,Do you know about pca?,pca
6,principal component analysis intuition?,pca
7,How principal component analysis works ?,pca
8,About principal component analysis?,pca
9,Let me know about principal component analysis?,pca
10,What does principal component analysis mean?,pca
11,Explain principal component analysis?,pca
12,Define principal component analysis?,pca
13,Can you explain about pca?,pca
14,Can you say something about principal component analysis?,pca
15,pca intuition?,pca
16,Can you give a short summary about pca?,pca
17,What is dimensionality?,pca
18,Tell me about dimensionality?,pca
19,What do you know about dimensionality?,pca
20,Do you know about dimensionality?,pca
21,What is the process of dimensionality?,pca
22,How dimensionality works ?,pca
23,About dimensionality?,pca
24,Let me know about dimensionality?,pca
25,What does dimensionality mean?,pca
26,Explain dimensionality?,pca
27,Define dimensionality?,pca
28,Can you explain about dimensionality?,pca
29,say something about dimensionality?,pca
30,Can you explain briefly about dimensionality?,pca
31,Can you give a short summary about dimensionality?,pca
32,What is PCA dimensionality reduction?,pca
33,Tell me about PCA dimensionality reduction?,pca
34,What do you know about PCA dimensionality reduction?,pca
35,Do you know about PCA dimensionality reduction?,pca
36,What is the process of PCA dimensionality reduction?,pca
37,How PCA dimensionality reduction works ?,pca
38,About PCA dimensionality reduction?,pca
39,Let me know about PCA dimensionality reduction?,pca
40,say about PCA dimensionality reduction?,pca
41,What does PCA dimensionality reduction mean?,pca
42,Explain PCA dimensionality reduction?,pca
43,Define PCA dimensionality reduction?,pca
44,Can you explain about PCA dimensionality reduction?,pca
45,Can you say something about PCA dimensionality reduction?,pca
46,Can you explain briefly about PCA dimensionality reduction?,pca
47,what is dimension reduction?,pca
48,what is dimensionality reduction?,pca
49,explain about dimension reduction?,pca
50,tell about dimension reduction?,pca
51,describe briefly about dimensionality reduction?,pca
52,define dimension reduction?,pca
53,define dimensionality reduction?,pca
54,can you explain about dimensionality reduction?,pca
55,tell about dimensionality reduction?,pca
56,applications of dimension reduction?,pca
57,what are the applications of dimension reduction?,pca
58,tell about the applications of dimension reduction?,pca
59,explain the applications of dimension reduction?,pca
60,describe the applications of dimension reduction?,pca
61,describe about deep face algorithm?,pca
62,explain about deep face algorithm?,pca
63,what is deep face algorithm?,pca
64,tell about deep face algorithm?,pca
65,briefly describe about deep face algorithm?,pca
66,define deep face algorithm?,pca
67,What are principal components?,pca
68,Tell me about principal components?,pca
69,What do you know about principal components?,pca
70,Do you know about principal components?,pca
71,What is the process of principal components?,pca
72,How principal components works ?,pca
73,About principal components?,pca
74,Let me know about principal components?,pca
75,say about principal components?,pca
76,What does principal components mean?,pca
77,Explain principal components?,pca
78,Define principal components?,pca
79,Can you explain about principal components?,pca
80,Can you say something about principal components?,pca
81,Can you explain briefly about principal components?,pca
82,Can you give a short summary about principal components?,pca
83,what are the main techniques used for dimensionality reduction,pca
84,techniques used for dimensionality reduction,pca
85,tell about the main techniques used for dimensionality reduction,pca
86,explain the techniques used for dimensionality reduction,pca
87,describe the techniques used for dimensionality reduction,pca
88,can you describe the techniques used for dimensionality reduction,pca
89,How do we determine the number of components?,pca
90,How can we calculate the required components?,pca
91,How to get components?,pca
92,What is the procedure to follow to get  components?,pca
93,How  components works ?,pca
94,What is Orthogonal transformation ?,pca
95,Tell me about Orthogonal transformation ?,pca
96,What do you know about Orthogonal transformation ?,pca
97,Do you know about Orthogonal transformation ?,pca
98,What is the process of Orthogonal transformation ?,pca
99,How Orthogonal transformation  works ?,pca
100,About Orthogonal transformation ?,pca
101,Let me know about Orthogonal transformation ?,pca
102,say about Orthogonal transformation ?,pca
103,What does Orthogonal transformation mean?,pca
104,Explain Orthogonal transformation ?,pca
105,Define Orthogonal transformation ?,pca
106,Can you explain about Orthogonal transformation ?,pca
107,Can you say something about Orthogonal transformation ?,pca
108,Can you explain briefly about Orthogonal transformation ?,pca
109,summary about Orthogonal transformation ? ,pca
110,What is eigen value?,pca
111,Tell me about eigen value?,pca
112,What do you know about eigen value?,pca
