line,question,question_type,keywords
1,When is Simple Linear Regression employed?,logistic regression,"['regression', 'linear regression']"
2,when is simple linear regression employed in machine learning?,logistic regression,"['learning', 'regression', 'linear regression']"
3,when is simple linear regression employed in data science?,logistic regression,"['data', 'regression', 'linear regression']"
4,when is simple linear regression employed in R,logistic regression,"['regression', 'linear regression']"
5,when is simple linear regression employed in python?,logistic regression,"['regression', 'linear regression']"
6,When is Multiple Linear Regression employed?,logistic regression,"['regression', 'linear regression']"
7,when is multiple linear regression employed in machine learning?,logistic regression,"['learning', 'regression', 'linear regression']"
8,when is multiple linear regression employed in data science?,logistic regression,"['data', 'regression', 'linear regression']"
9,when is multiple linear regression employed in R?,logistic regression,"['regression', 'linear regression']"
10,when is multiple linear regression employed in python?,logistic regression,"['regression', 'linear regression']"
11,When is Simple Logistic Regression employed?,logistic regression,"['regression', 'logistic', 'logistic regression']"
12,when is simple logistic regression employed in machine learning?,logistic regression,"['regression', 'learning', 'logistic', 'logistic regression']"
13,when is simple logistic regression employed in data science?,logistic regression,"['data', 'regression', 'logistic', 'logistic regression']"
14,when is simple logistic regression employed in R?,logistic regression,"['regression', 'logistic', 'logistic regression']"
15,when is simple logistic regression employed in python?,logistic regression,"['regression', 'logistic', 'logistic regression']"
16,When is Multiple Logistic Regression employed?,logistic regression,"['regression', 'logistic', 'logistic regression']"
17,when is Multiple Logistic regression employed in machine learning?,logistic regression,"['regression', 'learning', 'logistic', 'logistic regression']"
18,when is Multiple Logistic regression employed in data science?,logistic regression,"['data', 'regression', 'logistic', 'logistic regression']"
19,when is Multiple Logistic regression employed in R?,logistic regression,"['regression', 'logistic', 'logistic regression']"
20,when is Multiple Logistic regression employed in python?,logistic regression,"['regression', 'logistic', 'logistic regression']"
21,What is Attribute data?,logistic regression,['data']
22,What is Attribute data in machine learning?,logistic regression,"['data', 'learning']"
23,What is Attribute data in data science?,logistic regression,['data']
24,What is Attribute data in python?,logistic regression,['data']
25,What is Attribute data in R?,logistic regression,['data']
26,Tell me about Attribute data?,logistic regression,['data']
27,What do you know about Attribute data?,logistic regression,['data']
28,Do you know about Attribute data?,logistic regression,['data']
29,What is the process of Attribute data?,logistic regression,['data']
30,How Attribute data works ?,logistic regression,['data']
31,Tell me Attribute data?,logistic regression,['data']
32,About Attribute data?,logistic regression,['data']
33,Let me know about Attribute data?,logistic regression,['data']
34,What is Attribute data?,logistic regression,['data']
35,What do you say about Attribute data?,logistic regression,['data']
36,What does Attribute datamean?,logistic regression,[]
37,Explain Attribute data?,logistic regression,['data']
38,Define Attribute data?,logistic regression,['data']
39,Can you explain about Attribute data?,logistic regression,['data']
40,Can you say something about Attribute data?,logistic regression,['data']
41,Can you explain briefly about Attribute data?,logistic regression,['data']
42,Can you give a short summary about Attribute data?,logistic regression,['data']
43,With which statistical model you will analyze attribute data?,logistic regression,"['model', 'data']"
44,With which statistical model you will analyze attribute data in machine learning?,logistic regression,"['model', 'learning', 'data']"
45,With which statistical model you will analyze attribute data in data science?,logistic regression,"['model', 'data']"
46,With which statistical model you will analyze attribute data in R?,logistic regression,"['model', 'data']"
47,With which statistical model you will analyze attribute data in python?What is the techniques available to analyze discrete data?,logistic regression,"['model', 'discrete', 'data']"
48,What is the techniques available to analyze discrete data in machine learning?,logistic regression,"['data', 'discrete', 'learning']"
49,What is the techniques available to analyze discrete data in data science?,logistic regression,"['data', 'discrete']"
50,What is the techniques available to analyze discrete data in python?,logistic regression,"['data', 'discrete']"
51,What is the techniques available to analyze discrete data in R?,logistic regression,"['data', 'discrete']"
52,Tell me about the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
53,What do you know about the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
54,Do you know about the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
55,What is the process of the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
56,How the techniques available to analyze discrete data works ?,logistic regression,"['data', 'discrete']"
57,Tell me the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
58,About the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
59,Let me know about the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
60,What is the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
61,What do you say about the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
62,What does the techniques available to analyze discrete datamean?,logistic regression,['discrete']
63,Explain the techniques available to analyze discrete data?,logistic regression,"['data', 'discrete']"
