line,question,question_type
1,What is Sentiment Analysis?,sentiment analysis
2,Tell me about Sentiment Analysis?,sentiment analysis
3,What do you know about Sentiment Analysis?,sentiment analysis
4,Do you know about Sentiment Analysis?,sentiment analysis
5,What is the process of Sentiment Analysis?,sentiment analysis
6,How Sentiment Analysis? works?,sentiment analysis
7,Tell me Sentiment Analysis?,sentiment analysis
8,About Sentiment Analysis?,sentiment analysis
9,Let me know about Sentiment Analysis?,sentiment analysis
10,What do you say about Sentiment Analysis?,sentiment analysis
11,What does Sentiment Analysis? mean?,sentiment analysis
12,Explain Sentiment Analysis?,sentiment analysis
13,Define Sentiment Analysis?,sentiment analysis
14,Can you explain about Sentiment Analysis?,sentiment analysis
15,Can you say something about Sentiment Analysis?,sentiment analysis
16,Can you explain briefly about Sentiment Analysis?,sentiment analysis
17,Can you give a short summary about Sentiment Analysis?,sentiment analysis
18,Where can sentiment analysis be used?,sentiment analysis
19,Uses of sentiment analysis?,sentiment analysis
20,Main Uses of sentiment analysis?,sentiment analysis
21,what are the Uses of sentiment analysis?,sentiment analysis
22,where do we use sentiment analysis?,sentiment analysis
23,tell me some uses of sentiment analysis?,sentiment analysis
24,list out some Uses of sentiment analysis?,sentiment analysis
25,what is the use of sentiment analysis?,sentiment analysis
26,where is sentiment analysis Uses?,sentiment analysis
27,list me few uses of sentiment analysis?,sentiment analysis
28,what are the real time examples of sentiment analysis?,sentiment analysis
29,list some examples of sentiment analysis?,sentiment analysis
30,How does companies use sentiment analysis?,sentiment analysis
31,Explain the scope of sentiment analysis,sentiment analysis
32,What is the scope of sentiment analysis,sentiment analysis
33,do you know the scope of sentiment analysis,sentiment analysis
34,tell me the scope of sentiment analysis,sentiment analysis
35,describe the scope of sentiment analysis,sentiment analysis
36,let me know the scope of sentiment analysis,sentiment analysis
37,about the scope of sentiment analysis,sentiment analysis
38,What are types of sentiment analysis?,sentiment analysis
39,Tell me types of sentiment analysis?,sentiment analysis
40,Do you know types of  sentiment analysis?,sentiment analysis
41,Types of  sentiment analysis?,sentiment analysis
42,Different types of  sentiment analysis?,sentiment analysis
43,What are the different types of sentiment analysis?,sentiment analysis
44,how many types of sentiment analysis are there?,sentiment analysis
45,What are the important types of sentiment analysis?,sentiment analysis
46,list out different types of sentiment analysis?,sentiment analysis
47,what are the various types of sentiment analysis?,sentiment analysis
48,list out various types of sentiment analysis?,sentiment analysis
49,mention some sentiment analysismethods?,sentiment analysis
50,say different sentiment analysismethods?,sentiment analysis
51,do you know the various types of sentiment analysis?,sentiment analysis
52,What is Fine-grained Sentiment Analysis?,sentiment analysis
53,Tell me about Fine-grained Sentiment Analysis?,sentiment analysis
54,What do you know about Fine-grained Sentiment Analysis?,sentiment analysis
55,Do you know about Fine-grained Sentiment Analysis?,sentiment analysis
56,What is the process of Fine-grained Sentiment Analysis?,sentiment analysis
57,How Fine-grained Sentiment Analysis works?,sentiment analysis
58,Tell me Fine-grained Sentiment Analysis?,sentiment analysis
59,About Fine-grained Sentiment Analysis?,sentiment analysis
60,Let me know about Fine-grained Sentiment Analysis?,sentiment analysis
61,What is Fine-grained Sentiment Analysis?,sentiment analysis
62,What do you say about Fine-grained Sentiment Analysis?,sentiment analysis
63,What does Fine-grained Sentiment Analysis mean?,sentiment analysis
64,Explain Fine-grained Sentiment Analysis?,sentiment analysis
65,Define Fine-grained Sentiment Analysis?,sentiment analysis
66,Can you explain about Fine-grained Sentiment Analysis?,sentiment analysis
67,Can you say something about Fine-grained Sentiment Analysis?,sentiment analysis
68,Can you explain briefly about Fine-grained Sentiment Analysis?,sentiment analysis
69,Can you give a short summary about Fine-grained Sentiment Analysis?,sentiment analysis
70,What is Emotion detection in sentiment analysis?,sentiment analysis
71,Tell me about Emotion detection in sentiment analysis?,sentiment analysis
72,What do you know about Emotion detection in sentiment analysis?,sentiment analysis
73,Do you know about Emotion detection in sentiment analysis?,sentiment analysis
74,What is the process of Emotion detection in sentiment analysis?,sentiment analysis
75,How Emotion detection in sentiment analysis works?,sentiment analysis
76,Tell me Emotion detection in sentiment analysis?,sentiment analysis
77,About Emotion detection in sentiment analysis?,sentiment analysis
78,Let me know about Emotion detection in sentiment analysis?,sentiment analysis
79,What is Emotion detection in sentiment analysis?,sentiment analysis
80,What do you say about Emotion detection in sentiment analysis?,sentiment analysis
