line,question,question_type
1,When is Simple Linear Regression employed?,logistic regression
2,when is simple linear regression employed in machine learning?,logistic regression
3,when is simple linear regression employed in data science?,logistic regression
4,when is simple linear regression employed in R,logistic regression
5,when is simple linear regression employed in python?,logistic regression
6,When is Multiple Linear Regression employed?,logistic regression
7,when is multiple linear regression employed in machine learning?,logistic regression
8,when is multiple linear regression employed in data science?,logistic regression
9,when is multiple linear regression employed in R?,logistic regression
10,when is multiple linear regression employed in python?,logistic regression
11,When is Simple Logistic Regression employed?,logistic regression
12,when is simple logistic regression employed in machine learning?,logistic regression
13,when is simple logistic regression employed in data science?,logistic regression
14,when is simple logistic regression employed in R?,logistic regression
15,when is simple logistic regression employed in python?,logistic regression
16,When is Multiple Logistic Regression employed?,logistic regression
17,when is Multiple Logistic regression employed in machine learning?,logistic regression
18,when is Multiple Logistic regression employed in data science?,logistic regression
19,when is Multiple Logistic regression employed in R?,logistic regression
20,when is Multiple Logistic regression employed in python?,logistic regression
21,What is Attribute data?,logistic regression
22,What is Attribute data in machine learning?,logistic regression
23,What is Attribute data in data science?,logistic regression
24,What is Attribute data in python?,logistic regression
25,What is Attribute data in R?,logistic regression
26,Tell me about Attribute data?,logistic regression
27,What do you know about Attribute data?,logistic regression
28,Do you know about Attribute data?,logistic regression
29,What is the process of Attribute data?,logistic regression
30,How Attribute data works ?,logistic regression
31,Tell me Attribute data?,logistic regression
32,About Attribute data?,logistic regression
33,Let me know about Attribute data?,logistic regression
34,What is Attribute data?,logistic regression
35,What do you say about Attribute data?,logistic regression
36,What does Attribute datamean?,logistic regression
37,Explain Attribute data?,logistic regression
38,Define Attribute data?,logistic regression
39,Can you explain about Attribute data?,logistic regression
40,Can you say something about Attribute data?,logistic regression
41,Can you explain briefly about Attribute data?,logistic regression
42,Can you give a short summary about Attribute data?,logistic regression
43,With which statistical model you will analyze attribute data?,logistic regression
44,With which statistical model you will analyze attribute data in machine learning?,logistic regression
45,With which statistical model you will analyze attribute data in data science?,logistic regression
46,With which statistical model you will analyze attribute data in R?,logistic regression
47,With which statistical model you will analyze attribute data in python?What is the techniques available to analyze discrete data?,logistic regression
48,What is the techniques available to analyze discrete data in machine learning?,logistic regression
49,What is the techniques available to analyze discrete data in data science?,logistic regression
50,What is the techniques available to analyze discrete data in python?,logistic regression
51,What is the techniques available to analyze discrete data in R?,logistic regression
52,Tell me about the techniques available to analyze discrete data?,logistic regression
53,What do you know about the techniques available to analyze discrete data?,logistic regression
54,Do you know about the techniques available to analyze discrete data?,logistic regression
55,What is the process of the techniques available to analyze discrete data?,logistic regression
56,How the techniques available to analyze discrete data works ?,logistic regression
57,Tell me the techniques available to analyze discrete data?,logistic regression
58,About the techniques available to analyze discrete data?,logistic regression
59,Let me know about the techniques available to analyze discrete data?,logistic regression
60,What is the techniques available to analyze discrete data?,logistic regression
61,What do you say about the techniques available to analyze discrete data?,logistic regression
62,What does the techniques available to analyze discrete datamean?,logistic regression
63,Explain the techniques available to analyze discrete data?,logistic regression
64,Define the techniques available to analyze discrete data?,logistic regression
65,Can you explain about the techniques available to analyze discrete data?,logistic regression
66,Can you say something about the techniques available to analyze discrete data?,logistic regression
67,Can you explain briefly about the techniques available to analyze discrete data?,logistic regression
68,Can you give a short summary about the techniques available to analyze discrete data?,logistic regression
69,What is  Logistic Regression?,logistic regression
70,What is Simple Logistic Regression?,logistic regression
71,What is Simple Logistic Regression in machine learning?,logistic regression
72,What is Simple Logistic Regression in data science?,logistic regression
