line,question,question_type
1,What is recommendation system?,recomendation
2,Tell me about recommendation system?,recomendation
3,What do you know about recommendation system?,recomendation
4,Do you know about recommendation system?,recomendation
5,What do you know about recommendation system?,recomendation
6,Do you know about recommendation system?,recomendation
7,What do you know about recommendation system?,recomendation
8,Do you know about recommendation system?,recomendation
9,What do you know about recommendation system?,recomendation
10,Do you know about recommendation system?,recomendation
11,What do you know about recommendation system?,recomendation
12,Do you know about recommendation system?,recomendation
13,What do you know about recommendation system?,recomendation
14,Do you know about recommendation system?,recomendation
15,What do you know about recommendation system?,recomendation
16,Do you know about recommendation system?,recomendation
17,What do you know about recommendation system?,recomendation
18,Do you know about recommendation system?,recomendation
19,What do you know about recommendation system?,recomendation
20,Do you know about recommendation system?,recomendation
21,What do you know about recommendation system?,recomendation
22,Do you know about recommendation system?,recomendation
23,What do you know about recommendation system?,recomendation
24,Do you know about recommendation system?,recomendation
25,What do you know about recommendation system?,recomendation
26,Do you know about recommendation system?,recomendation
27,What do you know about recommendation system?,recomendation
28,Do you know about recommendation system?,recomendation
29,What do you know about recommendation system?,recomendation
30,Do you know about recommendation system?,recomendation
31,What do you know about recommendation system?,recomendation
32,Do you know about recommendation system?,recomendation
33,What do you know about recommendation system?,recomendation
34,Do you know about recommendation system?,recomendation
35,What do you know about recommendation system?,recomendation
36,Do you know about recommendation system?,recomendation
37,What do you know about recommendation system?,recomendation
38,Do you know about recommendation system?,recomendation
39,What do you know about recommendation system?,recomendation
40,Do you know about recommendation system?,recomendation
41,What do you know about recommendation system?,recomendation
42,Do you know about recommendation system?,recomendation
43,What is the process of recommendation system?,recomendation
44,How recommendation system works ?,recomendation
45,About recommendation system?,recomendation
46,What is recommendation system?,recomendation
47,What do you say about recommendation system?,recomendation
48,What does recommendation systemmean?,recomendation
49,Explain recommendation system?,recomendation
50,Define recommendation system?,recomendation
51,Explain about recommendation system?,recomendation
52,Say something about recommendation system?,recomendation
53,Briefly give a note on recommendation system?,recomendation
54,Give a short summary about recommendation system?,recomendation
55,What is collaborative filtering?,recomendation
56,Tell me about collaborative filtering?,recomendation
57,What do you know about collaborative filtering?,recomendation
58,How collaborative filtering works ?,recomendation
59,Let me know about collaborative filtering?,recomendation
60,What is collaborative filtering?,recomendation
61,What do you say about collaborative filtering?,recomendation
62,What does collaborative filtering mean?,recomendation
63,Explain collaborative filtering?,recomendation
64,Define collaborative filtering?,recomendation
65,Explain about collaborative filtering?,recomendation
66,Say something about collaborative filtering?,recomendation
67,Briefly give a note on collaborative filtering?,recomendation
68,Give a short summary about collaborative filtering?,recomendation
69,What is personalized suggestions?,recomendation
70,Tell me about personalized suggestions?,recomendation
71,What do you know about personalized suggestions?,recomendation
72,Do you know about personalized suggestions?,recomendation
73,What is the process of personalized suggestions?,recomendation
74,How personalized suggestions works ?,recomendation
75,What do you say about personalized suggestions?,recomendation
76,What does personalized suggestions mean?,recomendation
