line,question,question_type
1,what is clustering?,clustering
2,define so called clustering algorithm?,clustering
3,explain the term clustering?,clustering
4,is clustering an unsupervised learning?,clustering
5,can you explain about clustering?,clustering
6,can you say something about clustering?,clustering
7,any example of unsupervised learning technique,clustering
8,where can i use clustering?,clustering
9,what does clustering mean?,clustering
10,can you explain briefly about clustering?,clustering
11,can you give a short summary about clustering?,clustering
12,clustering?,clustering
13,what are the types of clustering?,clustering
14,what are different clustering techniques?,clustering
15,how many types of clustering techniques are there?,clustering
16,what are the important types of clustering?,clustering
17,list out different clustering techniques?,clustering
18,what are the various types of clustering methods?,clustering
19,list out various types of clutering methods?,clustering
20,mention some clustering methods,clustering
21,say different clustering methods used?,clustering
22,do you know the various types of clustering methods?,clustering
23,what are the applications of clustering?,clustering
24,list out some appplications of clustering?,clustering
25,where is clustering applied?,clustering
26,where is clustering applicable?,clustering
27,list me few applications of clustering?,clustering
28,list out some appplications of clustering?,clustering
29,what are the real time examples of clustering?,clustering
30,can you give list of clustering applications?,clustering
31,what is meant by k-means ?,clustering
32,define the term known as k-means ?,clustering
33,explain the  k-means?,clustering
34,is k-means an unsupervised learning?,clustering
35,can you explain about k-means?,clustering
36,can you say something about k-means clustering?,clustering
37,explain any one of clustering techniques,clustering
38,where can i use k-means algorithm?,clustering
39,what does k-means mean?,clustering
40,can you explain briefly about k-means?,clustering
41,can you give a short summary about k-means clustering?,clustering
42,what is k-medoids ?,clustering
43,define k-medoids ?,clustering
44,explain k-medoids ?,clustering
45,can you explain about k-medoids clustering?,clustering
46,can you say something about k-medoids ?,clustering
47,explain k-medoids clustering technique,clustering
48,where can i use k-medoids ?,clustering
49,what does k-medoids clustering mean?,clustering
50,can you explain briefly about k-medoids ?,clustering
51,can you give a short summary about k-medoids clustering?,clustering
52,what is hierarchical ?,clustering
53,define hierarchical clustering?,clustering
54,explain hierarchical ?,clustering
55,can you explain about hierarchical clustering?,clustering
56,can you say something about hierarchical ?,clustering
57,explain hierarchical  technique,clustering
58,where can i use hierarchical ?,clustering
59,what does hierarchical clustering mean?,clustering
60,can you explain briefly about hierarchical ?,clustering
61,can you give a short summary about hierarchical clustering?,clustering
62,what is dendrogram?,clustering
63,define dendrogram?,clustering
64,explain dendrogram?,clustering
65,can you explain about dendrogram?,clustering
66,can you say something about dendrogram?,clustering
67,explain cluster dendrogram,clustering
68,where can i use dendrogram?,clustering
69,what does dendrogram mean?,clustering
70,can you explain briefly about dendrogram?,clustering
71,can you give a short summary about dendrogram?,clustering
72,what chart is used to visualize hierarchical cluster?,clustering
73,what is used to represent hierarchical cluster visually?,clustering
74,what is Hierarchy?,clustering
75,define the word Hierarchy?,clustering
76,explain Hierarchy?,clustering
77,can you explain about Hierarchy?,clustering
78,can you say something about Hierarchy?,clustering
79,explain the term Hierarchy,clustering
80,tell me about Hierarchy?,clustering
81,what does Hierarchy mean?,clustering
82,can you explain briefly about Hierarchy?,clustering
83,can you give a short summary about Hierarchy?,clustering
84,what is the general meaning of Hierarchy?,clustering
85,What is cluster variance?,clustering
86,Tell me about cluster variance?,clustering
87,What do you know about cluster variance?,clustering
88,Do you know about cluster variance?,clustering
89,What is the process of cluster variance?,clustering
90,How cluster variance works ?,clustering
91,Tell me cluster variance?,clustering
92,About cluster variance?,clustering
93,Let me know about cluster variance?,clustering
94,Do you know cluster variance?,clustering
95,What do you say about cluster variance?,clustering
96,What does cluster variance mean?,clustering
97,Explain cluster variance?,clustering
98,Define cluster variance?,clustering
99,Can you explain about cluster variance?,clustering
100,Can you say something about cluster variance?,clustering
101,Can you explain briefly about cluster variance?,clustering
102,Can you give a short summary about cluster variance?,clustering
103,What are cluster centroids?,clustering
104,Tell me about cluster centroids?,clustering
105,What do you know about cluster centroids?,clustering
106,Do you know about cluster centroids?,clustering
107,What is the process of cluster centroids?,clustering
108,How cluster centroids works ?,clustering
109,Tell me cluster centroids?,clustering
110,About cluster centroids?,clustering
111,Let me know about cluster centroids?,clustering
112,Do you know cluster centroids?,clustering
113,What do you say about cluster centroids?,clustering
114,What does cluster centroids mean?,clustering
115,Explain cluster centroids?,clustering
116,Define cluster centroids?,clustering
117,Can you explain about cluster centroids?,clustering
118,Can you say something about cluster centroids?,clustering
119,Can you explain briefly about cluster centroids?,clustering
120,Can you give a short summary about cluster centroids?,clustering
121,What is mean shift algorithm?,clustering
122,Tell me about mean shift technique?,clustering
123,What do you know about mean shift cluster?,clustering
124,Do you know about mean shift algorithm technique?,clustering
125,What is the process of mean shift ?,clustering
126,How mean shift technique works ?,clustering
127,Tell me mean shift ?,clustering
128,anything About the term mean shift ?,clustering
129,Let me know about mean shift ?,clustering
130,Do you know mean shift ?,clustering
131,What do you say about mean shift ?,clustering
132,What does mean shift  mean?,clustering
133,Explain mean shift ?,clustering
134,Define mean shift ?,clustering
135,Can you explain about mean shift ?,clustering
136,Can you say something about mean shift ?,clustering
137,Can you explain briefly about mean shift ?,clustering
138,Can you give a short summary about mean shift ?,clustering
139,What is good clustering?,clustering
140,Tell me about good clustering?,clustering
141,What do you know about good clustering?,clustering
142,Do you know about good clustering?,clustering
143,What is the process of good clustering?,clustering
144,Tell me good clustering?,clustering
145,About good clustering?,clustering
146,Let me know about good clustering?,clustering
147,Do you know good clustering?,clustering
148,What do you say about good clustering?,clustering
149,What does good clustering mean?,clustering
150,Explain good clustering?,clustering
151,Define good clustering?,clustering
152,Can you explain about good clustering?,clustering
153,Can you say something about good clustering?,clustering
154,Can you explain briefly about good clustering?,clustering
155,Can you give a short summary about good clustering?,clustering
156,Where can clustering techniques be used?,clustering
157,Uses of clustering techniques ?,clustering
158,Main Uses of clustering techniques ?,clustering
159,what are the uses of clustering techniques?,clustering
160,where do we use clustering techniques ?,clustering
161,tell me some uses of clustering techniques ?,clustering
162,list out some uses of clustering techniques ?,clustering
163,what is the use of clustering techniques ?,clustering
164,where is clustering techniques usable?,clustering
165,list me few uses of clustering techniques ?,clustering
166,what are the real time examples of clustering techniques ?,clustering
167,provide few examples of clustering techniques ?,clustering
168,Where can clustering techniques be applied?,clustering
169,applications of clustering techniques ?,clustering
170,Main applications of clustering techniques ?,clustering
171,what are the applications of clustering techniques ?,clustering
172,where do we apply clustering techniques ?,clustering
173,tell me some a of clustering techniques ?,clustering
174,list out some applications of clustering techniques ?,clustering
175,what is the application of clustering techniques ?,clustering
176,where is clustering techniques applicable?,clustering
177,list me few applications of clustering techniques ?,clustering
178,what are the real time applications of clustering techniques ?,clustering
179,list some applications of clustering techniques ?,clustering
180,any business applications of clustering?,clustering
181,Main business applications of clustering techniques ?,clustering
182,what are the business applications of clustering techniques ?,clustering
183,where do we apply clustering?,clustering
184,tell me some business applications of clustering  ?,clustering
185,list out some business applications of clustering techniques ?,clustering
186,what is the business application of clustering?,clustering
187,where is clustering techniques applicable?,clustering
188,list me few business applications of clustering ?,clustering
189,what are the real time business applications of clustering?,clustering
190,list some business applications of clustering techniques ?,clustering
191,What is exclusive clustering?,clustering
192,Tell me about exclusive clustering?,clustering
193,What do you know about exclusive clustering?,clustering
194,Do you know about exclusive clustering?,clustering
195,What is the process of exclusive clustering?,clustering
196,How exclusive clustering works ?,clustering
197,Tell me exclusive clustering?,clustering
198,About exclusive clustering?,clustering
199,line question clustering, clustering
200,Let me know about exclusive clustering?,clustering
201,What do you say about exclusive clustering?,clustering
202,What does exclusive clustering mean?,clustering
203,Explain exclusive clustering?,clustering
204,Define exclusive clustering?,clustering
205,Can you explain about exclusive clustering?,clustering
206,Can you say something about exclusive clustering?,clustering
207,Can you explain briefly about exclusive clustering?,clustering
208,Can you give a short summary about exclusive clustering?,clustering
209,What is overlapping clustering?,clustering
210,Tell me about overlapping clustering?,clustering
211,What do you know about overlapping clustering?,clustering
212,Do you know about overlapping clustering?,clustering
213,What is the process of overlapping clustering?,clustering
214,How overlapping clustering works ?,clustering
215,Tell me overlapping clustering?,clustering
216,About overlapping clustering?,clustering
217,Let me know about overlapping clustering?,clustering
218,What do you say about overlapping clustering?,clustering
219,What does overlapping clustering mean?,clustering
220,Explain overlapping clustering?,clustering
221,Define overlapping clustering?,clustering
222,Can you explain about overlapping clustering?,clustering
223,Can you say something about overlapping clustering?,clustering
224,Can you explain briefly about overlapping clustering?,clustering
225,Can you give a short summary about overlapping clustering?,clustering
226,What is k value?,clustering
227,Tell me about k value?,clustering
228,What do you know about k value?,clustering
229,Do you know about k value?,clustering
230,What is the process of k value?,clustering
231,How k value works ?,clustering
232,Tell me k value?,clustering
233,About k value?,clustering
234,Let me know about k value?,clustering
235,What do you say about k value?,clustering
236,What does k value mean?,clustering
237,Explain k value?,clustering
238,Define k value?,clustering
239,Can you explain about k value?,clustering
240,Can you say something about k value?,clustering
241,Can you explain briefly about k value?,clustering
242,Can you give a short summary about k value?,clustering
243,What is total variance?,clustering
244,Tell me about total variance?,clustering
245,What do you know about total variance?,clustering
246,Do you know about total variance?,clustering
247,What is the process of total variance?,clustering
248,How total variance works ?,clustering
249,Tell me total variance?,clustering
250,About total variance?,clustering
251,Let me know about total variance?,clustering
252,What do you say about total variance?,clustering
253,What does total variance mean?,clustering
254,Explain total variance?,clustering
255,Define total variance?,clustering
256,Can you explain about total variance?,clustering
257,Can you say something about total variance?,clustering
258,Can you explain briefly about total variance?,clustering
259,Can you give a short summary about total variance?,clustering
260,What is elbow curve?,clustering
261,Tell me about elbow curve?,clustering
262,What do you know about elbow curve?,clustering
263,Do you know about elbow curve?,clustering
264,What is the process of elbow curve?,clustering
265,How elbow curve works ?,clustering
266,Tell me elbow curve?,clustering
267,About elbow curve?,clustering
268,Let me know about elbow curve?,clustering
269,What do you say about elbow curve?,clustering
270,What does elbow curve mean?,clustering
271,Explain elbow curve?,clustering
272,Define elbow curve?,clustering
273,Can you explain about elbow curve?,clustering
274,Can you say something about elbow curve?,clustering
275,Can you explain briefly about elbow curve?,clustering
276,Can you give a short summary about elbow curve?,clustering
277,What is elbow point?,clustering
278,Tell me about elbow point?,clustering
279,What do you know about elbow point?,clustering
280,Do you know about elbow point?,clustering
281,What is the process of elbow point?,clustering
282,How elbow point works ?,clustering
283,Tell me elbow point?,clustering
284,About elbow point?,clustering
285,Let me know about elbow point?,clustering
286,What do you say about elbow point?,clustering
287,What does elbow point mean?,clustering
288,Explain elbow point?,clustering
289,Define elbow point?,clustering
290,Can you explain about elbow point?,clustering
291,Can you say something about elbow point?,clustering
292,Can you explain briefly about elbow point?,clustering
293,Can you give a short summary about elbow point?,clustering
294,What is variability?,clustering
295,Tell me about variability?,clustering
296,What do you know about variability?,clustering
297,Do you know about variability?,clustering
298,What is the process of variability?,clustering
299,How variability works ?,clustering
